"ensembl_gene_id","gene_symbol","log2fc_p100_4h","padj_p100_4h","log2fc_p100_24h","padj_p100_24h","log2fc_c100_4h","padj_c100_4h","log2fc_c100_24h","padj_c100_24h","log2fc_pvc_4h","padj_pvc_4h","log2fc_pvc_24h","padj_pvc_24h"
"ENSMUSG00000000028","Cdc45",0.225119592112423,1,0.799288820421829,1,0.342823007429882,1,1.37697816884715,0.00202507626974468,-0.117703415317458,0.82291955435199,-0.577689348425324,0.0421997078721631
"ENSMUSG00000000202","Btbd17",0.892634007455426,1,2.95218480505366,0.0487395142166718,2.33872855283941,0.898708941123207,3.31180315618599,0.0059779364721246,-1.44609454538398,NA,-0.359618351132326,NA
"ENSMUSG00000000247","Lhx2",0.083069414178486,1,2.17087537620499,0.0787004024714696,0.645720126354118,1,2.23591686914922,0.0292245363300579,-0.562650712175632,0.641630446124082,-0.0650414929442293,NA
"ENSMUSG00000000253","Gmpr",0.261522527986518,1,0.404523545222277,1,0.629415628300409,1,1.05328707758829,0.000127687929328414,-0.367893100313891,0.152958391046562,-0.648763532366018,6.92105843583056e-08
"ENSMUSG00000000290","Itgb2",0.191307988670605,1,0.927141993193603,2.55048726259026e-06,0.681278972711577,1,1.23941917430085,7.79374392254508e-23,-0.489970984040971,0.00356290249693487,-0.31227718110725,3.44694847416432e-05
"ENSMUSG00000000303","Cdh1",4.25810014949974,7.34623206943241e-11,6.91726531965269,4.00670228298315e-15,8.58516279750838,1.2447414023366e-59,8.25764539065097,1.41499640324569e-22,-4.32706264800864,4.21090033348873e-50,-1.34038007099828,1.18023725728813e-06
"ENSMUSG00000000317","Bcl6b",0.0881624326859816,1,1.72476610088952,0.354679844546485,1.23165650829048,0.811306452018977,2.7290550722931,0.000807347106678076,-1.1434940756045,0.0868464923118038,-1.00428897140358,0.142611559979764
"ENSMUSG00000000318","Clec10a",1.1427799697745,1,0.903500136819887,0.00181532518159726,2.83399138681861,2.87240415309281e-16,1.31777967257409,1.6279099972912e-17,-1.6912114170441,2.4549630863762e-09,-0.414279535754204,1.30155466777335e-05
"ENSMUSG00000000440","Pparg",0.443399255236803,1,0.871197331581081,0.00121669783575364,1.23385847014877,0.00336618382468293,1.18715960534044,1.57278620557478e-15,-0.790459214911968,0.000133666748423778,-0.315962273759363,0.000211853365088793
"ENSMUSG00000000579","Dynlt1c",-0.284588758262457,1,-0.711326076250299,1,-0.762771528984745,1,-1.29191894247805,0.00345949225670666,0.478182770722288,0.369010782970479,0.580592866227753,0.0348148822415793
